"","specie_name","specie_code"
"633","Dimidiochromis compressiceps","1018246"
"634","Dimidiochromis kiwinge","1016298"
"635","Diplotaxodon greenwoodi","1010556"
"636","Diplotaxodon argenteus","1015287"
"637","Diplotaxodon ecclesi","1009389"
"638","Diplotaxodon limnothrissa","1010906"
"639","Oreochromis mossambicus","218777"
"640","Oreochromis niloticus","293639"
"641","Oreochromis aureus","279196"
"642","Oreochromis spilurus","293645"
"643","Oreochromis macrochir","298252"
"644","Oreochromis urolepis","293646"
"645","Oreochromis andersonii","279194"
"646","Oreochromis alcalicus","1605298"
"647","Oreochromis amphimelas","279193"
"648","Oreochromis angolensis","279195"
"649","Oreochromis chungruruensis","1016542"
"650","Oreochromis esculentus","1016104"
"651","Oreochromis hunteri","1019688"
"652","Oreochromis jipe","1027004"
"653","Oreochromis karomo","1014343"
"654","Oreochromis karongae","1014812"
"655","Oreochromis korogwe","279197"
"656","Oreochromis lepidurus","279198"
"657","Oreochromis leucostictus","1014962"
"658","Oreochromis lidole","1014813"
"659","Oreochromis malagarasi","1524173"
"660","Oreochromis mortimeri","1013438"
"661","Oreochromis pangani","1528683"
"662","Oreochromis placidus","293642"
"663","Oreochromis rukwaensis","1018761"
"664","Oreochromis saka","1014123"
"665","Oreochromis salinicola","1014339"
"666","Oreochromis schwebischi","1026683"
"667","Oreochromis shiranus","293644"
"668","Oreochromis squamipinnis","1420555"
"669","Oreochromis tanganicae","279204"
"670","Oreochromis upembae","1012193"
"671","Oreochromis variabilis","1018485"
"672","Sarotherodon galilaeus","293731"
"673","Sarotherodon melanotheron","293732"
"674","Cichlasoma beani","280185"
"675","Cichlasoma bimaculatum","1021606"
"676","Cichlasoma facetum","1340249"
"677","Cichlasoma istlanum","1015336"
"678","Cichlasoma cyanoguttatum","1435093"
"679","Cichlasoma managuense","1435104"
"680","Cichlasoma maculicauda","314127"
"681","Cichlasoma urophthalmus","280186"
"682","Cichlasoma nigrofasciatum","991201"
"683","Cichlasoma octofasciatum","991203"
"684","Cichlasoma festae","1624393"
"685","Cichla ocellaris","280183"
"686","Cichla temensis","1015785"
"687","Cichla monoculus","1014783"
"688","Cichla orinocensis","1022807"
"689","Tilapia zillii","282980"
"690","Tilapia sparrmanii","1015839"
"691","Tilapia guineensis","-999"
"692","Tilapia bakossiorum","1566595"
"693","Tilapia baloni","1383660"
"694","Tilapia bemini","1527465"
"695","Tilapia bilineata","1566564"
"696","Tilapia brevimanus","581718"
"697","Tilapia busumana","1470224"
"698","Tilapia buttikoferi","1048615"
"699","Tilapia bythobates","1566596"
"700","Tilapia cabrae","1048707"
"701","Tilapia cameronensis","1566565"
